iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
3,7b,165.428,5.306,170.734,3.1781
3,7c,1634.5,6.122,1640.622,22.6442
3,8a,836.522,3.822,840.344,16.8655
3,8b,85.692,3.644,89.336,6.0526
3,8c,1936.042,3.38,1939.422,1.3087
3,8d,685.698,3.987,689.685,2.6362
3,9a,131.92,6.185,138.105,9.0921
3,9b,127.767,5.561,133.328,8.9157
3,9c,219.537,5.916,225.453,2.7243
3,9d,1940.703,6.324,1947.027,3.545
4,10a,242.725,3.47,246.195,1.8375
4,10b,138.92,3.485,142.405,2.4455
4,10c,7083.642,3.362,7087.004,5.7434
4,11a,55.152,5.666,60.818,18.1154
4,11b,20.252,4.694,24.946,10.5471
4,11c,104.878,5.065,109.943,13.452
4,11d,91.619,5.138,96.757,6.8417
4,12a,104.294,5.437,109.731,5.6684
4,12b,37.178,6.01,43.188,3.419
4,12c,315.741,5.49,321.231,11.5422
4,13a,606.059,8.178,614.237,5.1741
4,13b,272.38,8.242,280.622,6.2289
4,13c,261.812,8.776,270.588,3.6061
4,13d,945.121,8.334,953.455,5.0759
4,14a,244.106,5.394,249.5,21.3898
4,14b,110.258,4.893,115.151,4.1078
4,14c,413.423,5.129,418.552,25.1027
4,15a,155.531,11.384,166.915,3.0283
4,15b,18.386,11.7,30.086,3.5767
4,15c,606.263,12.309,618.572,3.6553
4,15d,309.893,12.825,322.718,5.8831
4,16a,156.665,6.503,163.168,8.5075
4,16b,10035.809,6.102,10041.911,37.073
4,16c,880.963,6.052,887.015,24.3997
4,16d,725.026,6.328,731.354,24.9874
4,17a,7076.949,3.978,7080.927,35.9395
4,17b,5411.337,4.268,5415.605,31.2046
4,17c,5242.754,4.037,5246.791,33.5948
4,17d,5322.86,4.04,5326.9,54.1499
4,17e,7080.353,3.775,7084.128,35.6406
4,17f,6551.093,3.961,6555.054,37.6148
4,18a,2544.647,3.846,2548.493,5.563
4,18b,113.027,3.879,116.906,5.9781
4,18c,3265.263,3.759,3269.022,7.5543
4,19a,133.007,18.906,151.913,9.8205
4,19b,58.153,14.727,72.88,8.4129
4,19c,1000.191,20.415,1020.606,11.3543
4,19d,3193.28,21.615,3214.895,6.129
4,1a,39.273,2.096,41.369,1.5607
4,1b,36.495,1.635,38.13,7.9545
4,1c,37.761,1.658,39.419,1.9086
4,1d,36.477,1.649,38.126,8.4569
4,20a,2008.145,11.742,2019.887,15.5797
4,20b,1575.645,11.792,1587.437,14.2331
4,20c,864.151,12.183,876.334,19.8577
4,21a,56.629,11.28,67.909,23.3651
4,21b,37.624,10.57,48.194,16.1667
4,21c,39.161,11.087,50.248,22.9058
4,22a,299.32,29.452,328.772,29.7569
4,22b,214.734,29.702,244.436,12.0574
4,22c,905.918,28.788,934.706,50.9815
4,22d,563.076,31.727,594.803,48.4399
4,23a,194.115,28.073,222.188,5.0458
4,23b,42.133,26.951,69.084,5.5679
4,23c,188.247,27.205,215.452,1.9236
4,24a,304.757,56.498,361.255,21.3734
4,24b,15.872,49.974,65.846,4.2373
4,25a,1495.243,10.086,1505.329,45.904
4,25b,193.022,9.797,202.819,6.2503
4,25c,5231.01,10.806,5241.816,60.3968
4,26a,12123.074,47.876,12170.95,17.0993
4,26b,151.483,47.263,198.746,11.7425
4,26c,1102.979,47.179,1150.158,12.2682
4,27a,13.146,47.782,60.928,3.3333
4,27b,5.312,46.302,51.614,4.1487
4,27c,17.54,49.51,67.05,3.087
4,28a,856.842,59.251,916.093,71.1659
4,28b,446.696,57.432,504.128,58.8041
4,28c,896.716,59.463,956.179,53.0267
4,29a,53.715,70.159,123.874,7.7208
4,29b,8.77,70.633,79.403,3.3953
4,29c,715.345,74.082,789.427,68.8643
4,2a,308.526,1.885,310.411,31.5217
4,2b,293.037,2.044,295.081,36.7786
4,2c,277.216,2.041,279.257,8.7956
4,2d,383.812,2.017,385.829,31.75
4,30a,3676.611,50.599,3727.21,37.7648
4,30b,244.783,46.837,291.62,8.7455
4,30c,2146.697,50.676,2197.373,53.9099
4,31a,678.117,39.088,717.205,34.2144
4,31b,247.541,34.383,281.924,12.5577
4,31c,682.329,39.793,722.122,39.3635
4,32a,8.128,2.267,10.395,9.5469
4,32b,102.243,2.977,105.22,22.7631
4,33a,21.739,58.199,79.938,3.5952
4,33b,12.269,57.538,69.807,2.6411
4,33c,33.662,58.156,91.818,5.4494
4,3a,129.509,1.578,131.087,2.6384
4,3b,84.052,1.608,85.66,2.5172
4,3c,200.305,1.771,202.076,3.622
4,4a,91.079,2.093,93.172,6.7148
4,4b,33.016,1.84,34.856,2.0691
4,4c,82.894,1.763,84.657,7.6972
4,5a,66.583,1.927,68.51,7.8224
4,5b,62.885,1.777,64.662,1.5855
4,5c,95.678,1.794,97.472,3.4904
4,6a,21.134,1.941,23.075,3.1455
4,6b,172.552,1.819,174.371,8.4287
4,6c,6.165,2.16,8.325,3.1988
4,6d,4070.028,1.764,4071.792,9.3842
4,6e,14.598,2.123,16.721,2.7271
4,6f,4121.774,1.776,4123.55,9.813
4,7a,580.934,5.549,586.483,3.3748
4,7b,164.121,5.5,169.621,3.1781
4,7c,1635.028,6.012,1641.04,22.6442
4,8a,835.154,3.803,838.957,16.8655
4,8b,83.516,3.555,87.071,6.0526
4,8c,1878.758,3.283,1882.041,1.3087
4,8d,686.082,3.92,690.002,2.6362
4,9a,132.785,6.272,139.057,9.0921
4,9b,127.128,5.553,132.681,8.9157
4,9c,219.61,6.044,225.654,2.7243
4,9d,1943.04,5.994,1949.034,3.545
5,10a,241.023,3.513,244.536,1.8375
5,10b,137.623,3.491,141.114,2.4455
5,10c,6965.469,3.34,6968.809,5.7434
5,11a,56.116,5.497,61.613,18.1154
5,11b,20.447,4.689,25.136,10.5471
5,11c,100.696,5.086,105.782,13.4625
5,11d,92.164,5.099,97.263,6.8415
5,12a,105.02,5.492,110.512,5.6684
5,12b,36.287,5.853,42.14,3.419
5,12c,315.609,5.418,321.027,11.5422
5,13a,611.64,8.383,620.023,5.1741
5,13b,273.79,8.43,282.22,6.2289
5,13c,263.603,8.452,272.055,3.6061
5,13d,942.799,8.324,951.123,5.0759
5,14a,240.911,5.273,246.184,21.3898
5,14b,110.069,4.896,114.965,4.1078
5,14c,411.222,5.126,416.348,25.1027
5,15a,154.245,11.319,165.564,3.0283
5,15b,18.731,11.426,30.157,3.5767
5,15c,602.831,12.256,615.087,3.6553
5,15d,309.108,13.06,322.168,5.8831
5,16a,154.35,6.574,160.924,8.5075
5,16b,10015.407,6.234,10021.641,37.073
5,16c,886.042,6.285,892.327,24.3997
5,16d,723.981,6.081,730.062,24.9874
5,17a,7044.449,4.08,7048.529,35.9395
5,17b,5379.33,4.099,5383.429,31.2046
5,17c,5249.595,3.995,5253.59,33.5948
5,17d,5331.876,4.014,5335.89,54.1499
5,17e,7094.378,3.973,7098.351,35.6406
5,17f,6557.871,3.98,6561.851,37.6148
5,18a,2546.547,3.892,2550.439,5.563
5,18b,113.314,3.968,117.282,5.9781
